codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
32082,ESM HITS GEL GLITTER LEMON JELLY 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32083,ESM HITS GEL GLITTER CLEAR JELLY 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32084,ESM HITS GEL GLITTER BLUEBERRY JELLY 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32110,SEC TAIFF VULCAN ION 2500W,854.99,699.98,01/09,15/10,EQUIPAMENTOS DE BELEZA,0,1,,
32209,SAB PROTEX ERVA DOCE 85G,3.89,2.79,01/09,15/09,HIGIENE CORPORAL,1332,0,,
32886,KIT PANTENE RESTAURACAO SH+COND GRTS AMP,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
32934,KIT SKALA GENETIQS SH+COND,19.49,17.99,05/09,30/09,CUIDADOS COM O CABELO,2946,0,,
33018,SAB EVEN SUAVE MEN 85G,2.69,1.99,24/08,23/09,HIGIENE CORPORAL,1285,0,,
33447,SH DOVE CACHEADOS TEXTURAS REAIS 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
33584,KIT PANTENE RESTAURACAO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
33592,DESOD AERO DOVE MEN LIMAO 150ML,21.29,16.49,01/09,14/09,HIGIENE CORPORAL,1484,0,,
33593,DESOD AERO DOVE MEN EUCALIPTO 89G,21.29,16.49,01/09,14/09,HIGIENE CORPORAL,1484,0,,
33956,SH PALMOLIVE HIALURONICO 350ML,12.39,7.90,09/09,30/09,CUIDADOS COM O CABELO,1260,1,,
33957,COND PALMOLIVE HIALURONICO 350ML,12.89,7.90,09/09,30/09,CUIDADOS COM O CABELO,1401,0,,
34076,SAND IPANEMA BRASIL AD AJ571 AZ BC 37 38 43 44,34.99,27.99,02/09,30/09,CALCADOS,4314,0,,
34077,SAND IPANEMA BRASIL AD AJ569 BC BC 37 38 43 44,34.99,27.99,02/09,30/09,CALCADOS,4314,1,,
34078,SAND IPANEMA BRASIL AD AJ570 PT PT 37 38 43 44,34.99,27.99,02/09,30/09,CALCADOS,4314,0,,
34232,MASCARA SIAGE EUDORA NUTRI OURO 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
34233,MASCARA SIAGE EUDORA LOIRO EXPERT 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,1,,
34313,COND PALMOLIVE FORCA E COLAGENO 350G,12.89,7.90,09/09,30/09,CUIDADOS COM O CABELO,1401,0,,
34321,SH PALMOLIVE FORCA E COLAGENO 350ML,12.39,7.90,09/09,30/09,CUIDADOS COM O CABELO,1260,0,,
34386,SH PANTENE EQUILIBRIO 175ML,20.39,16.99,01/09,15/10,CUIDADOS COM O CABELO,2965,0,,
34494,HID PANTENE RESTAURACAO 270ML,48.69,29.97,29/08,28/09,CUIDADOS COM O CABELO,5527,0,,
34676,MASCARA SIAGE EUDORA NUTRI ROSE 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
34677,MASCARA SIAGE EUDORA RECONSTROI OS FIOS 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
34795,ANTI-SEP COLGATE PLAX FRESH MINT L750P500ML,24.29,14.90,01/09,15/09,CUIDADOS BUCAL,4808,0,,
34796,ANTI-SEP COLGATE PLAX ODOR CONTROL 250ML,17.29,7.90,01/09,15/09,CUIDADOS BUCAL,1458,0,,
34800,CR DENT COLGATE TOTAL CARVAO ATIVADO 90G,9.99,9.90,01/09,15/09,CUIDADOS BUCAL,1380,0,,
35113,MASCARA SIAGE EUDORA HIDRATACAO MICELAR 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
35117,MASCARA SIAGE EUDORA ACELERA CRESCIMENTO 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
35133,SH HB BEAUTY POS QUIMICA 1L,115.89,99.99,14/09,15/09,CUIDADOS COM O CABELO,0,1,,
35135,COND HB BEAUTY POS QUIMICA 1L,115.89,99.99,14/09,15/09,CUIDADOS COM O CABELO,0,1,,
35146,KIT SKALA OLEO ARGAN SH+COND,19.49,17.99,05/09,30/09,CUIDADOS COM O CABELO,2946,0,,
35532,MASCARA SIAGE EUDORA CICA THERAPY 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
35538,MASCARA SIAGE EUDORA HAIR PLASTIA 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
35766,KIT PANTENE HIDROCAUTERIZACAO SH350+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
35775,ANTI-SEP COLGATE PLAX ODOR CONTROL L750P500ML,24.29,14.90,01/09,15/09,CUIDADOS BUCAL,4808,1,,
36068,SAB PALMOLIVE NUTRICAO E SUAVIDADE GELEIA 150G,4.99,2.99,01/09,15/09,HIGIENE CORPORAL,1327,0,,
36381,SAB PALMOLIVE NATURALS SENSACAO PURIFICANTE 85G,3.29,1.85,01/09,15/09,HIGIENE CORPORAL,1853,0,,
36429,BASE RK FLUIDA 220,26.29,13.99,05/08,31/10,MAQUIAGENS / ACESSORIOS,4576,1,,
36432,BASE RK FLUIDA 315,26.29,13.99,05/08,31/10,MAQUIAGENS / ACESSORIOS,4576,0,,
36528,MASCARA SIAGE EUDORA GLOW EXPERT 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
36736,CR DENT ORAL B 4EM1 180G,12.79,9.99,21/08,20/09,CUIDADOS BUCAL,0,1,,
36812,ESM HITS GEL GLITTER DIAMANTE VERDE AURORA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
36813,ESM HITS GEL GLITTER DIAMANTE ROSA ETERNO 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
36816,ESM HITS GEL GLITTER DIAMANTE SAKURA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
36817,ESM HITS GEL GLITTER DIAMANTE LUA AZUL 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
36818,ESM HITS GEL GLITTER DIAMANTE ESTRELA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,1,,
36828,ESM HITS GEL GLITTER DIAMANTE DE FOGO 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
36855,SEC TUTTI SILIENCIAR 2200W 220V ENGEREUS,399.98,299.98,01/09,15/10,EQUIPAMENTOS DE BELEZA,0,1,,
36867,PRANCHA LION  PRO TITTAN 500F COBRE BIVOLT,481.29,399.98,10/09,10/10,EQUIPAMENTOS DE BELEZA,0,1,,
37131,LOCAO TONICA LABOTRAT ADSTRINGENTE FACIAL 100ML,19.29,14.99,11/09,11/10,HIGIENE CORPORAL,0,1,,
37133,ESFOLIANTE LABOTRAT PESSEGO 300G,31.99,25.99,11/09,11/10,HIGIENE CORPORAL,3493,1,,
37134,HID LABOTRAT MELANCIA 190G,24.29,19.98,11/09,11/10,HIGIENE CORPORAL,4646,1,,
37135,HID LABOTRAT MARACUJA 190G,24.29,19.98,11/09,11/10,HIGIENE CORPORAL,4646,0,,
37165,BTX HAIR FLY TANOX ORGANIC 200G,29.99,24.99,24/08,23/09,CUIDADOS COM O CABELO,2610,1,,
37265,SH HEAD SHOULDERS OLD SPICE 200ML,23.29,19.98,21/08,20/09,CUIDADOS COM O CABELO,1317,1,,
37300,MASC HASKELL CAVALO FORTE HIDRA 500G,79.59,55.99,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37301,MASC HASKELL CAVALO FORTE HIDRA 300G,56.29,39.99,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37302,SH HASKELL HIDRA CAVALO FORTE 500ML,77.99,54.59,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37304,SH HASKELL HIDRA CAVALO FORTE 300ML,53.99,37.99,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37305,COND HASKELL HIDRA CAVALO FORTE 300ML,53.99,37.79,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37307,LEAVE IN HASKELL CAVALO FORTE HIDRA 120ML,50.89,35.59,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37311,PROT MULTIFUNCIONAL HASKELL HIDRA CAVALO FORTE 150G,54.79,38.99,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
37462,MASCARA SIAGE EUDORA COMBATE O FRIZZ 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
37479,MASCARA SIAGE EUDORA LISO INTENSO 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
37705,TONALIZ COR&TON 01.0,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,1,,
37706,TONALIZ COR&TON 01.7,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37707,TONALIZ COR&TON 02.0,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37708,TONALIZ COR&TON 03.0,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37709,TONALIZ COR&TON 05.0,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37710,TONALIZ COR&TON 06.0,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37711,TONALIZ COR&TON 06.26,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37712,TONALIZ COR&TON 06.66,22.99,19.99,15/07,15/09,CUIDADOS COM O CABELO,4731,0,,
37791,ESC DENT COLGATE ZIG ZAG CARVAO 2PK,17.59,10.90,01/09,15/09,CUIDADOS BUCAL,0,1,,
37801,SAB PALMOLIVE NATURALS MELANCIA E LICHIA 85G,3.29,1.85,01/09,15/09,HIGIENE CORPORAL,1853,0,,
37802,SAB PALMOLIVE NATURALS HIDRATACAO REFRESCANTE 150G,4.99,2.99,01/09,15/09,HIGIENE CORPORAL,1327,0,,
37803,SAB PALMOLIVE NATURALS FRESCOR NUTRITIVO 150G,4.99,2.99,01/09,15/09,HIGIENE CORPORAL,1327,0,,
37804,SAB PALMOLIVE NATURALS FRESCOR NUTRITIVO 85G,3.29,1.85,01/09,15/09,HIGIENE CORPORAL,1853,0,,
37924,ESC SECADOR GAMA STYLISH KERATION BRUSH 3D,167.59,99.99,10/09,10/10,EQUIPAMENTOS DE BELEZA,0,1,,
38004,SH PANTENE QUERATINA 175ML,21.99,16.99,01/09,15/10,CUIDADOS COM O CABELO,2965,0,,
38184,ANTI-SEP COLGATE PLAX ODOR CONTROL 500ML,23.29,11.90,01/09,15/09,CUIDADOS BUCAL,1455,0,,
38394,CR DENT COLGATE LUMINOUS GLOW 70G,29.49,9.90,01/09,15/09,CUIDADOS BUCAL,0,1,,
38633,HID LABOTRAT MORANGO 190G,24.29,19.98,11/09,11/10,HIGIENE CORPORAL,4646,0,,
38699,CR TRAT SKALA ACACHONADOS 1K,14.89,13.99,04/09,30/09,CUIDADOS COM O CABELO,1434,0,,
38867,KIT SKALA BOMBA BIOTINA SH+COND,19.49,17.99,05/09,30/09,CUIDADOS COM O CABELO,2946,0,,
38868,KIT SKALA CRESPINHO SH+COND,19.49,17.99,05/09,30/09,CUIDADOS COM O CABELO,2946,0,,
38869,KIT SKALA RAIZES MORRO SH+COND,19.49,17.99,05/09,30/09,CUIDADOS COM O CABELO,2946,0,,
38929,CR TRAT SKALA COLAGENO 1K,14.89,13.99,04/09,30/09,CUIDADOS COM O CABELO,1434,0,,
38937,CR TRAT SKALA AMIDINHO DE MILHO KIDS 1K,14.89,13.99,04/09,30/09,CUIDADOS COM O CABELO,1434,0,,
38938,CR TRAT SKALA MAIS CACHINHOS 1K,14.89,13.99,04/09,30/09,CUIDADOS COM O CABELO,1434,0,,
38939,CR TRAT SKALA DIVINA COR 1K,14.89,13.99,04/09,30/09,CUIDADOS COM O CABELO,1434,0,,
38942,CERA DEPILART MORNA 200G,24.69,17.99,27/08,26/09,DEPILACAO,0,1,,
38977,SAB PALMOLIVE NATURALS ESFOLIACAO DELICADA 150G,4.99,2.99,01/09,15/09,HIGIENE CORPORAL,1327,0,,
39098,MASC HASKELL INFUSAO DE OLEOS 500G,76.59,61.29,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
39099,MASC HASKELL INFUSAO DE OLEOS 300G,59.79,47.89,01/09,30/09,CUIDADOS COM O CABELO,2721,1,,
39102,SH HASKELL INFUSAO DE OLEOS 300ML,51.79,41.49,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
39103,COND HASKELL INFUSAO DE OLEOS 300ML,51.79,41.49,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
39105,LEAVE IN HASKELL INFUSAO DE OLEOS 150G,53.29,42.69,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
39106,FINALIZ HASKELL INFUSAO DE OLEOS 100ML,77.99,62.99,01/09,30/09,CUIDADOS COM O CABELO,0,1,,
39397,MASCARA SIAGE EUDORA POS QUIMICA 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
39426,AP GILETTE MACH3 C/1UN CARBONO,47.99,19.98,20/08,19/09,DEPILACAO,0,1,,
39479,SAB LIQ LABOTRAT MARACUJA DIA A DIA 190ML,23.49,15.99,11/09,11/10,HIGIENE CORPORAL,4928,1,,
39480,SAB LIQ LABOTRAT MELANCIA DIA A DIA 190ML,23.49,15.99,11/09,11/10,HIGIENE CORPORAL,4928,0,,
39616,ESM HITS GEL GLITTER DIAMANTE FANTASIA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
39617,ESM HITS GEL GLITTER DIAMANTE OCEANO 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
39618,ESM HITS GEL GLITTER DIAMANTE FORTUNA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
39619,ESM HITS GEL GLITTER DIAMANTE VIOLETA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
39620,ESM HITS GEL GLITTER DIAMANTE CANARIO 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
39621,ESM HITS GEL GLITTER DIAMANTE LEGADO PINK 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
39823,SAB LIQ LABOTRAT PITAYA DIA A DIA 190ML,23.49,15.99,11/09,11/10,HIGIENE CORPORAL,4928,0,,
39825,HID LABOTRAT PITAYA 190G,24.29,19.98,11/09,11/10,HIGIENE CORPORAL,4646,0,,
39935,ANTI-SEP COLGATE PLAX KIDS MINIONS 250ML,19.98,17.99,11/09,18/09,CUIDADOS BUCAL,4948,1,,
39942,MODELADOR LIZZE EXTREME BIVOLT 25MM,265.79,236.99,14/09,15/09,EQUIPAMENTOS DE BELEZA,4950,1,,
39943,MODELADOR LIZZE EXTREME BIVOLT 19MM,265.79,236.99,14/09,15/09,EQUIPAMENTOS DE BELEZA,4950,0,,
39944,MODELADOR LIZZE EXTREME BIVOLT 32MM,265.79,236.99,14/09,15/09,EQUIPAMENTOS DE BELEZA,4950,0,,
39962,KIT PANTENE COLAGENO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,1,,
39963,KIT PANTENE QUERATINA SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
39968,ANTI-SEP COLGATE PLAX ICE FUSION 250ML,17.29,7.90,01/09,15/09,CUIDADOS BUCAL,1458,0,,
