codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia
38463,"SH SEDA PROBIOTICO + BIOTINA 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
38464,"COND SEDA PROBIOTICO + BIOTINA 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
38597,"DESINF DRAGAO FLORAL 1L",4.69,3.49,03/08,10/08,LIMPEZA,4827
38598,"DESINF DRAGAO CAMPESTRE 1L",4.69,3.49,03/08,10/08,LIMPEZA,4827
39239,"FRALDA MUNDO BITA MEGA XXG C/26UND",37.39,24.99,22/07,21/08,INFANTIS,4699
39785,"CAPSULA TRES CORACOES CAFE ORGANICO  10X50G ",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
39786,"CAPSULA  TRES CORACOES CAFE INTENSO 10X50G ",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
39787,"CAPSULA  TRES CORACOES CAFE DESCAFE 10X50G ",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
39790,"CAPSULA TRES CORACOES CAFE MOGIANA PAULISTA  10X50G ",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
39791,"CAPSULA TRES CORACOES CAFE CERRADO MINEIRO 10X50G ",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
39861,"VINHO CASA RODRIGUES TINTO SUAVE 1L",19.99,19.97,04/08,10/08,BEBIDAS,5489
40121,"CHOC BARRA RECH SNICKERS PE DE MOLEQUE 42G",4.99,4.99,04/08,10/08,BOMBONIERE,4203
40221,"SH HEAD SHOULDERS LIMPEZA EFICAZ 200ML",23.29,18.99,03/08,10/08,"CUIDADOS COM O CABELO",1317
40245,"CR PENT SEDA PREBIOTICOS + BIOTINA FRASC0 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
40252,"DESOD AERO DOVE MEN INVISIBLE FRESH 150ML",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
40662,"VINHO CASA RODRIGUES TINTO SECO 1L",19.99,19.97,04/08,10/08,BEBIDAS,5489
40665,"BISC RECH TRELOSO FARINHA LACTA 120G",2.29,1.87,04/08,10/08,"BISCOITOS / BOLACHAS",4053
40683,"SAB LIQ CLEAN LEVEL ERVA DOCE 1L",18.29,11.99,03/08,10/08,"HIGIENE CORPORAL",5046
40684,"SAB LIQ CLEAN LEVEL FRUTAS CITRICAS 1L",18.29,11.99,03/08,10/08,"HIGIENE CORPORAL",5046
40685,"SAB LIQ CLEAN LEVEL ROSAS 1L",18.29,11.99,03/08,10/08,"HIGIENE CORPORAL",5046
40686,"SAB LIQ CLEAN LEVEL LAVANDA 1L",18.29,11.99,03/08,10/08,"HIGIENE CORPORAL",5046
41030,"CHOC BARRA RECH SNICKERS MORANGO 42G",4.99,4.99,04/08,10/08,BOMBONIERE,4203
41372,"CHOC BARRA RECH SNICKERS WHITE 42G",4.99,4.99,04/08,10/08,BOMBONIERE,4203
41537,"SNACKS RUFFLES SOUR CREAM E CEBOLA 100G",10.69,9.97,04/08,10/08,BOMBONIERE,5151
41538,"SNACKS RUFFLES CHEDDAR 100G",10.69,9.97,04/08,10/08,BOMBONIERE,5151
41539,"SNACKS RUFFLES ORIGINAL 100G",10.69,9.97,04/08,10/08,BOMBONIERE,5151
41576,"KIT HAIR FLY MUITO MAIS NUTRE SH + COND",39.99,29.98,24/07,23/08,"CUIDADOS COM O CABELO",5153
41577,"KIT HAIR FLY REPARA MUITO MAIS SH + COND",39.99,29.98,24/07,23/08,"CUIDADOS COM O CABELO",5153
41578,"KIT HAIR FLY MUITO MAIS HIDRATA SH + COND",39.99,29.98,24/07,23/08,"CUIDADOS COM O CABELO",5153
41579,"KIT HAIR FLY MUITO MAIS CACHOS SH + COND",39.99,29.98,24/07,23/08,"CUIDADOS COM O CABELO",5153
41658,"COND SEDA LUMINOUS UV 300ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
41659,"SH SEDA LUMINOUS UV 300ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
41660,"CR PENT SEDA LUMINOUS UV 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
41796,"KIT HAIR FLY SOS ANTIQUEDA SH+COND",18.29,12.99,03/08,10/08,"CUIDADOS COM O CABELO",3935
41797,"KIT HAIR FLY SOS POS QUIMICA SH+COND",18.29,12.99,03/08,10/08,"CUIDADOS COM O CABELO",3935
