codigo,descricao,preconormal,precooferta,inicio,fim
198021,"SH SEDA BOMBA E COCO 325ML",16.49,13.99,04/08,03/09
198030,"COND SEDA BOMBA E COCO 325ML",17.59,14.99,04/08,03/09
198048,"COND PALMOLIVE COCO CACHEADO 350G",12.89,11.99,03/08,10/08
198056,"SH PALMOLIVE COCO CACHEADO 350ML",12.39,10.99,03/08,10/08
200018,"COND SEDA BAMBU E BIOTINA 325ML",17.59,14.99,04/08,03/09
200026,"SH SEDA BAMBU E BIOTINA 325ML",16.49,13.99,04/08,03/09
501450,"ACUCAR IPOJUCA CRISTAL 1KG",3.39,3.39,04/08,06/08
506656,"AGUA SANIT DRAGAO 2L",5.59,4.79,03/08,10/08
531448,"CAFE SANTA CLARA CLASSICO 250G",15.99,13.99,04/08,10/08
537160,"KETCHUP GOSTO MAIS TRAD 750G",5.69,5.49,04/08,10/08
537764,"CERVEJA HEINEKEN 350ML",5.99,5.99,04/08,10/08
559954,"ESPONJA ESFRELUX SANTA MARIA L4 PG3",3.99,3.49,03/08,10/08
564486,"FARINHA DE MANDIOCA DO SITIO 1KG",3.89,3.79,04/08,06/08
570621,"FILEZINHO SASSAMI MAURICEA 1KG",25.69,22.99,04/08,10/08
584827,"INSET BAYGON AERO MULTIPLUS 285ML",20.99,16.79,03/08,10/08
586331,"LEITE CONDENSADO BETANIA TP 395G",6.79,5.97,04/08,10/08
587630,"LEITE EM PO LASERENISSIMA INTEGRAL 200G",7.59,6.75,04/08,10/08
631639,"SALG PIPPOS VIT CHURRASCO 200G",10.49,9.99,04/08,10/08
631728,"SALG PIPPOS VIT PIZZA 200G",10.99,9.99,04/08,10/08
631795,"SALG PIPPOS VIT QUEIJO 200G",10.99,9.99,04/08,10/08
668460,"ACHOC TODDYNHO CHOC 200ML",2.49,2.25,04/08,10/08
674605,"VODKA SMIRNOFF RED 998ML",42.29,34.99,04/08,10/08
675423,"WHISKY JOHNNIE WALKER RED LABEL 1L",79.99,74.90,04/08,10/08
697176,"SH PALMOLIVE NATURALS ANTI-ARMADO 350ML",12.39,10.99,03/08,10/08
697435,"SH PALMOLIVE NATURALS NEUTRO 350ML",12.39,10.99,03/08,10/08
704725,"SH PALMOLIVE NATURALS CERAMIDAS FORCE 350ML",12.39,10.99,03/08,10/08
704768,"SH PALMOLIVE NATURALS ILUMINADOR PRETO 350ML",12.39,10.99,03/08,10/08
